,dir,time,mass,a,e,i,O,o,M,diskmass,alpha,simID,radius
4,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,3.494927e-06,0.03407,0.108454,3.58749,216.57197,303.20595,156.3644,-999999,-999999,0,0.922707790102
10,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,5.086663e-06,0.04952,0.03601,3.01841,192.65874,113.35282,0.96989,-999999,-999999,0,1.08625431925
15,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,7.227789e-06,0.08175,0.038042,2.0205,50.64681,26.05865,211.16151,-999999,-999999,0,1.27718683451
31,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,4.719616e-06,0.14099,0.063442,3.92813,219.04211,15.55112,229.76805,-999999,-999999,0,1.0514524718
40,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,2.605614e-06,0.224,0.109527,6.6468,345.89186,24.33731,203.29516,-999999,-999999,0,0.81211441211
64,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,3.02703e-06,0.37422,0.085338,2.74039,15.81423,82.4715,26.70578,-999999,-999999,0,0.866811082227
65,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,2.279852e-06,0.62912,0.020538,1.65636,231.78699,73.7182,336.78055,-999999,-999999,0,0.766299139238
74,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,8.066665e-07,1.01278,0.300692,8.28135,122.12845,72.73516,153.75444,-999999,-999999,0,0.487774319668
66,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,5.668898e-07,1.11332,0.183619,3.40249,149.27758,200.18291,252.01796,-999999,-999999,0,0.41841981726
71,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,3.140599e-07,1.38786,0.122172,10.15836,7.20872,326.60879,286.51417,-999999,-999999,0,0.323665586631
78,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run01,9999999.99977,2.236269e-07,1.70628,0.197016,6.35322,204.91699,159.02172,284.34972,-999999,-999999,0,0.279235811685
84,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,4.243451e-06,0.03566,0.059609,5.03059,3.60891,168.0903,258.91378,-999999,-999999,1,1.00394087398
89,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,3.953958e-06,0.05115,0.057688,1.6258,332.09095,186.68813,316.91344,-999999,-999999,1,0.973567127557
92,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,5.211882e-06,0.0717,0.056923,1.7595,68.59028,156.55606,277.67184,-999999,-999999,1,1.09780074227
108,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,2.65594e-06,0.10378,0.02282,1.35232,279.64354,275.83779,305.19058,-999999,-999999,1,0.818897358449
100,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,4.583549e-06,0.14303,0.066093,4.03226,295.92493,268.14513,17.05671,-999999,-999999,1,1.0381636683
117,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,2.374864e-06,0.21869,0.057218,4.28998,334.94043,228.84077,350.2404,-999999,-999999,1,0.780023957444
123,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,2.805239e-06,0.36498,0.045371,3.76982,123.17029,351.72666,218.48859,-999999,-999999,1,0.838602700182
158,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,3.186573e-06,0.65634,0.017321,2.92842,195.48916,3.1566,294.22404,-999999,-999999,1,0.886386666763
159,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,3.175909e-07,1.06048,0.015335,2.13343,93.54058,43.29465,163.05885,-999999,-999999,1,0.325242761547
147,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,6.480779e-07,1.14248,0.07284,5.2115,122.37908,268.54359,124.43408,-999999,-999999,1,0.443491740837
161,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run02,9999999.99977,2.519776e-07,1.39121,0.131419,5.63597,114.86601,88.64998,302.08138,-999999,-999999,1,0.294109687065
163,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,4.576642e-06,0.03558,0.02353,7.58601,13.10568,39.95212,263.59834,-999999,-999999,2,1.03748319572
170,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,5.624783e-06,0.0551,0.055733,1.09723,354.88868,43.17208,72.88614,-999999,-999999,2,1.13480095622
180,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,8.749464e-06,0.10042,0.077005,2.75163,170.12644,351.23367,64.52041,-999999,-999999,2,1.29019780433
190,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,4.056944e-06,0.19054,0.161581,6.73058,201.81457,351.95533,75.39593,-999999,-999999,2,0.984512199524
226,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,1.607635e-06,0.36065,0.026699,2.62148,313.7326,308.01247,52.50336,-999999,-999999,2,0.658314570028
231,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,2.90948e-06,0.50877,0.093152,1.70854,7.0036,165.21102,177.59952,-999999,-999999,2,0.852011796427
249,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,1.778877e-06,0.8389,0.062835,3.52853,330.81838,354.08752,358.20394,-999999,-999999,2,0.687932526759
244,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,2.03494e-07,1.23657,0.194521,8.60224,130.25532,228.0398,111.78922,-999999,-999999,2,0.268013711639
241,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,3.379609e-07,1.31433,0.18433,13.44824,42.3991,274.24648,193.26978,-999999,-999999,2,0.334153549052
227,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,1.226386e-07,1.36304,0.282954,12.87127,208.58588,78.80951,199.22889,-999999,-999999,2,0.215049134099
245,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,2.842325e-07,1.48375,0.393548,7.23323,99.70233,219.17134,281.07408,-999999,-999999,2,0.309922844844
254,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,4.778979e-06,0.03597,0.122538,4.25685,173.9898,100.61803,9.4203,-999999,-999999,3,1.05718220716
261,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,7.039589e-06,0.06013,0.036911,4.20586,218.20117,45.09353,262.11047,-999999,-999999,3,1.5158679716
