,dir,time,mass,a,e,i,O,o,M,diskmass,alpha,simID,radius
26,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run01,10000000.0,5.752368e-07,0.07671,0.214034,19.16009,220.49435,106.32103,249.0061,-999999,-999999,0,0.421087407007
43,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run01,10000000.0,1.375409e-06,0.15835,0.084822,0.51387,100.3401,293.6714,171.10819,-999999,-999999,0,0.615140773759
51,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run01,10000000.0,2.062757e-06,0.26174,0.114562,6.07257,146.64407,173.43486,193.25939,-999999,-999999,0,0.733674290203
53,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run01,10000000.0,4.10545e-06,0.42006,0.052796,1.4243,316.29931,87.9156,150.77231,-999999,-999999,0,0.989612889009
59,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run01,10000000.0,6.062744e-06,0.6114,0.031525,1.74192,328.59384,227.63586,218.94654,-999999,-999999,0,1.17240515235
61,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run01,10000000.0,4.963636e-06,0.98119,0.028292,0.61224,195.13577,98.24654,348.74007,-999999,-999999,0,1.07475247874
89,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run02,10000000.0,5.303055e-07,0.07565,0.159339,13.5134,159.77073,211.12589,305.83572,-999999,-999999,1,0.406457836678
98,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run02,10000000.0,1.016027e-06,0.14913,0.118345,5.74303,110.16638,109.42133,135.95202,-999999,-999999,1,0.539248605626
112,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run02,10000000.0,2.437982e-06,0.25495,0.081405,4.6718,296.19159,325.0057,172.73536,-999999,-999999,1,0.788970702994
114,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run02,10000000.0,4.132571e-06,0.40547,0.059862,3.07603,87.41857,320.42138,8.87197,-999999,-999999,1,0.992449982627
119,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run02,10000000.0,4.975335e-06,0.58997,0.015925,2.56105,196.94446,128.14418,275.47239,-999999,-999999,1,1.07585310637
121,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run02,10000000.0,3.392254e-06,0.81719,0.096735,4.81388,356.68786,18.81581,241.14186,-999999,-999999,1,0.910822736152
120,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run02,10000000.0,2.47419e-06,1.04675,0.040076,1.65343,202.19101,298.75031,294.34094,-999999,-999999,1,0.794044048925
134,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run03,10000000.0,4.012357e-07,0.07121,0.244939,24.97383,55.4682,56.91247,271.30205,-999999,-999999,2,0.360040849656
168,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run03,10000000.0,1.80658e-06,0.15417,0.059008,1.47459,322.70558,45.71213,130.57546,-999999,-999999,2,0.692570184775
172,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run03,10000000.0,1.610094e-06,0.25571,0.139301,5.97546,70.87754,169.85064,247.27518,-999999,-999999,2,0.658752181887
176,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run03,10000000.0,3.207223e-06,0.37655,0.013388,3.47234,58.25962,122.64684,113.66077,-999999,-999999,2,0.888879528273
